"시점",국내총생산(시장가격 GDP)
"2015 1/4",409418.1
"2015 2/4",411136.3
"2015 3/4",417357.1
"2015 4/4",420108.8
"2016 1/4",421399.7
"2016 2/4",426230.0
"2016 3/4",428335.7
"2016 4/4",430914.8
"2017 1/4",435062.1
"2017 2/4",437982.6
"2017 3/4",444474.0
"2017 4/4",443292.8
"2018 1/4",448384.1
"2018 2/4",451225.1
"2018 3/4",454330.8
"2018 4/4",458065.4
"2019 1/4",457150.7
"2019 2/4",461932.6
"2019 3/4",463803.6
"2019 4/4",469779.5
"2020 1/4",463853.2
"2020 2/4",449238.4
"2020 3/4",459271.8
"2020 4/4",464517.7
