"시점",L (광의 유동성)
"2015. 01",3666903.0
"2015. 02",3696158.2
"2015. 03",3719810.2
"2015. 04",3755677.9
"2015. 05",3804675.1
"2015. 06",3829617.0
"2015. 07",3839694.9
"2015. 08",3871431.7
"2015. 09",3883472.6
"2015. 10",3913396.9
"2015. 11",3919764.4
"2015. 12",3947914.3
"2016. 01",3983919.8
"2016. 02",3999288.4
"2016. 03",4033933.8
"2016. 04",4040019.1
"2016. 05",4066614.9
"2016. 06",4103617.8
"2016. 07",4136111.5
"2016. 08",4169109.8
"2016. 09",4189152.5
"2016. 10",4211096.2
"2016. 11",4236882.2
"2016. 12",4259952.8
"2017. 01",4262909.6
"2017. 02",4301697.3
"2017. 03",4330232.3
"2017. 04",4363937.9
"2017. 05",4379139.6
"2017. 06",4413364.6
"2017. 07",4432290.3
"2017. 08",4451822.5
"2017. 09",4479809.1
"2017. 10",4473568.9
"2017. 11",4509204.3
"2017. 12",4551374.6
"2018. 01",4571529.6
"2018. 02",4606960.6
"2018. 03",4652468.3
"2018. 04",4649392.4
"2018. 05",4692330.7
"2018. 06",4725437.4
"2018. 07",4721486.5
"2018. 08",4752954.0
"2018. 09",4779077.1
"2018. 10",4800144.4
"2018. 11",4818181.8
"2018. 12",4849985.3
"2019. 01",4877010.5
"2019. 02",4917897.0
"2019. 03",4955955.4
"2019. 04",4969549.9
"2019. 05",5000220.5
"2019. 06",5060693.5
"2019. 07",5060790.9
"2019. 08",5112560.4
"2019. 09",5123440.9
"2019. 10",5153820.2
"2019. 11",5206573.1
"2019. 12",5227257.2
"2020. 01",5252259.4
"2020. 02",5312405.5
"2020. 03",5329945.9
"2020. 04",5362459.9
"2020. 05",5430488.3
"2020. 06",5464760.4
"2020. 07",5487522.2
"2020. 08",5500497.7
"2020. 09",5548829.3
"2020. 10",5586993.1
"2020. 11",5643188.6
"2020. 12",5678723.7
