"시점",기업자금대출1),가계자금대출 1),주택담보대출,기타담보대출,보증대출,일반신용대출,공공및기타부문대출 1),주택담보대출
"2015. 01",8.37,17.15,7.09,7.21,10.36,25.71,6.94,4.27
"2015. 02",8.36,16.82,6.93,7.45,10.38,25.75,7.22,4.19
"2015. 03",8.27,17.72,7.58,8.00,10.35,26.32,7.08,4.08
"2015. 04",8.48,15.59,7.07,7.03,10.21,23.40,8.29,4.00
"2015. 05",8.01,15.98,6.83,7.04,10.09,24.46,9.20,3.92
"2015. 06",7.94,16.41,6.96,7.79,9.83,25.12,9.04,3.86
"2015. 07",8.18,16.35,6.84,7.15,9.79,25.50,8.38,3.77
"2015. 08",7.98,15.89,6.78,7.19,8.72,25.88,8.80,3.73
"2015. 09",8.16,16.30,6.70,7.48,8.65,24.99,10.85,3.71
"2015. 10",7.86,15.88,6.63,7.12,8.42,26.00,7.74,3.65
"2015. 11",7.87,14.82,6.50,6.44,8.51,25.50,8.73,3.60
"2015. 12",7.90,16.58,6.31,7.33,8.52,25.57,8.13,3.61
"2016. 01",7.84,17.37,6.55,7.50,8.71,25.77,6.61,3.61
"2016. 02",7.85,17.23,6.43,7.37,8.96,24.75,7.79,3.61
"2016. 03",7.97,16.22,6.11,7.35,8.17,24.11,7.91,3.62
"2016. 04",7.88,15.60,5.96,6.89,7.36,23.61,9.36,3.55
"2016. 05",7.57,15.22,6.07,6.70,8.29,22.62,7.69,3.53
"2016. 06",7.81,15.04,5.96,6.71,8.47,23.28,15.49,3.50
"2016. 07",8.13,14.57,5.72,6.44,8.50,23.23,14.50,3.48
"2016. 08",7.80,15.70,5.92,6.80,8.57,23.26,10.73,3.44
"2016. 09",7.90,15.19,5.81,6.88,9.31,22.71,10.99,3.43
"2016. 10",7.45,15.51,5.99,6.82,9.96,23.05,9.40,3.42
"2016. 11",7.25,15.42,5.85,7.08,10.42,22.19,9.55,3.44
"2016. 12",7.61,14.75,5.74,6.81,10.22,22.39,9.94,3.48
"2017. 01",7.97,15.51,6.09,7.47,9.58,22.88,11.20,3.56
"2017. 02",7.57,15.21,6.00,7.58,9.70,22.07,8.81,3.55
"2017. 03",7.99,14.80,5.99,7.81,9.38,21.69,7.73,3.60
"2017. 04",8.06,14.28,5.70,8.77,9.55,20.78,8.52,3.62
"2017. 05",8.28,14.60,5.78,8.24,9.68,21.37,7.79,3.63
"2017. 06",8.29,14.04,5.92,6.94,9.69,22.29,7.92,3.59
"2017. 07",8.35,15.23,5.72,8.20,9.88,22.44,7.94,3.61
"2017. 08",8.46,14.67,6.08,7.75,10.20,21.61,7.88,3.59
"2017. 09",8.34,14.40,6.15,7.15,10.39,21.78,8.80,3.62
"2017. 10",8.15,15.15,6.06,7.51,11.26,20.86,8.57,3.62
"2017. 11",8.21,15.25,5.87,7.26,11.35,21.93,9.12,3.62
"2017. 12",8.39,14.55,6.23,7.39,11.64,21.96,7.39,3.67
"2018. 01",8.85,15.87,6.17,7.27,11.53,21.69,7.57,3.74
"2018. 02",8.47,14.78,6.33,7.27,11.52,20.25,6.60,3.77
"2018. 03",8.14,14.40,6.23,7.32,11.52,19.94,7.35,3.77
"2018. 04",8.38,14.35,6.23,6.98,11.57,19.71,6.47,3.79
"2018. 05",8.25,14.59,5.93,6.85,11.45,19.74,7.22,3.75
"2018. 06",8.09,14.08,6.38,6.71,11.59,19.55,6.93,3.65
"2018. 07",8.42,14.71,6.28,8.09,11.94,19.47,6.73,3.73
"2018. 08",8.33,15.18,6.47,8.65,12.33,19.48,7.23,3.74
"2018. 09",8.27,14.55,6.85,7.87,12.46,19.32,6.81,3.75
"2018. 10",7.88,14.41,6.51,7.27,12.43,18.78,6.50,3.77
"2018. 11",8.04,14.20,6.56,7.19,12.25,18.82,6.82,3.77
"2018. 12",7.79,14.32,6.10,7.34,11.92,19.20,6.94,3.84
"2019. 01",8.26,14.73,6.55,7.17,11.97,19.27,6.83,3.89
"2019. 02",8.15,14.31,6.46,7.08,11.97,19.12,6.35,3.84
"2019. 03",7.73,14.93,6.24,7.53,11.47,19.15,6.61,3.81
"2019. 04",7.61,13.78,5.78,5.89,10.75,18.91,6.86,3.82
"2019. 05",7.52,14.27,5.98,6.22,10.17,18.73,6.08,3.82
"2019. 06",7.65,14.69,6.28,6.55,9.97,18.80,6.31,3.80
"2019. 07",7.91,15.29,6.06,7.95,9.90,18.58,6.93,3.66
"2019. 08",7.23,14.90,6.04,7.68,10.04,18.28,6.12,3.68
"2019. 09",7.38,14.94,5.88,7.56,9.96,18.32,7.64,3.60
"2019. 10",7.01,15.24,6.20,7.84,9.98,18.36,7.32,3.42
"2019. 11",6.79,14.75,5.45,7.66,9.94,18.16,7.86,3.28
"2019. 12",6.68,14.64,5.84,7.47,9.46,17.93,6.72,3.26
"2020. 01",6.91,14.75,5.85,7.22,9.55,17.98,6.28,3.21
"2020. 02",6.80,14.81,5.49,7.18,9.61,17.67,5.94,3.18
"2020. 03",6.62,14.67,5.38,7.94,9.40,17.34,5.85,3.27
"2020. 04",6.34,14.26,5.06,7.34,9.23,17.07,5.10,3.23
"2020. 05",6.34,14.26,5.47,7.48,9.18,17.02,5.73,3.18
"2020. 06",6.46,14.20,5.12,7.72,9.18,16.98,5.67,3.18
"2020. 07",6.14,14.25,5.11,7.66,9.07,16.92,5.64,3.07
"2020. 08",6.22,14.27,5.32,7.20,8.95,16.89,5.36,2.89
"2020. 09",5.99,14.41,5.41,7.46,8.76,16.83,5.34,2.95
"2020. 10",6.02,14.22,4.84,6.90,8.60,16.94,5.28,2.97
"2020. 11",5.93,14.05,5.24,6.92,8.66,16.51,5.37,2.93
"2020. 12",6.14,13.98,5.21,7.14,8.62,16.72,5.73,2.86
